medal_type,medal_code,athlete_name,country_code,discipline_code,event
Silver Medal,2,ZUEV Alexander,ROC,BK3,Men
Silver Medal,2,KARPENKOV Ilia,ROC,BK3,Men
Silver Medal,2,PISKLOV Kirill,ROC,BK3,Men
Silver Medal,2,SHAROV Stanislav,ROC,BK3,Men
Bronze Medal,3,DOMOVIC BULUT Dusan,SRB,BK3,Men
Bronze Medal,3,MAJSTOROVIC Dejan,SRB,BK3,Men
Bronze Medal,3,RATKOV Aleksandar,SRB,BK3,Men
Bronze Medal,3,VASIC Mihailo,SRB,BK3,Men
Gold Medal,1,YOUNG Jacquelyn,USA,BK3,Women
Gold Medal,1,GRAY Allisha,USA,BK3,Women
Gold Medal,1,PLUM Kelsey,USA,BK3,Women
Gold Medal,1,DOLSON Stefanie,USA,BK3,Women
Silver Medal,2,KOZIK Yulia,ROC,BK3,Women
Silver Medal,2,LOGUNOVA Anastasiia,ROC,BK3,Women
Silver Medal,2,FROLKINA Evgeniia,ROC,BK3,Women
Silver Medal,2,FROLKINA Olga,ROC,BK3,Women
Bronze Medal,3,ZHANG Zhiting,CHN,BK3,Women
Bronze Medal,3,WAN Jiyuan,CHN,BK3,Women
Bronze Medal,3,YANG Shuyu,CHN,BK3,Women
Bronze Medal,3,WANG Lili,CHN,BK3,Women
Gold Medal,1,HASHIMOTO Daiki,JPN,GAR,Men's All-Around
Silver Medal,2,XIAO Ruoteng,CHN,GAR,Men's All-Around
Bronze Medal,3,NAGORNYY Nikita,ROC,GAR,Men's All-Around
Gold Medal,1,ROGLIC Primoz,SLO,CRD,Men's Individual Time Trial
Silver Medal,2,DUMOULIN Tom,NED,CRD,Men's Individual Time Trial
Bronze Medal,3,DENNIS Rohan,AUS,CRD,Men's Individual Time Trial
Gold Medal,1,van VLEUTEN Annemiek,NED,CRD,Women's Individual Time Trial
Silver Medal,2,REUSSER Marlen,SUI,CRD,Women's Individual Time Trial
Bronze Medal,3,van der BREGGEN Anna,NED,CRD,Women's Individual Time Trial
Gold Medal,1,WANG Zongyuan,CHN,DIV,Men's Synchronised 3m Springboard
Gold Medal,1,XIE Siyi,CHN,DIV,Men's Synchronised 3m Springboard
Silver Medal,2,CAPOBIANCO Andrew,USA,DIV,Men's Synchronised 3m Springboard
Silver Medal,2,HIXON Michael,USA,DIV,Men's Synchronised 3m Springboard
Bronze Medal,3,HAUSDING Patrick,GER,DIV,Men's Synchronised 3m Springboard
Bronze Medal,3,RUDIGER Lars,GER,DIV,Men's Synchronised 3m Springboard
Gold Medal,1,von BREDOW-WERNDL Jessica,GER,EQU,Dressage Individual
Silver Medal,2,WERTH Isabell,GER,EQU,Dressage Individual
Bronze Medal,3,DUJARDIN Charlotte,GBR,EQU,Dressage Individual
Gold Medal,1,OH Sanguk,KOR,FEN,Men's Sabre Team
Gold Medal,1,KIM Junho,KOR,FEN,Men's Sabre Team
Gold Medal,1,KIM Junghwan,KOR,FEN,Men's Sabre Team
Gold Medal,1,GU Bongil,KOR,FEN,Men's Sabre Team
Silver Medal,2,MONTANO Aldo,ITA,FEN,Men's Sabre Team
Silver Medal,2,SAMELE Luigi,ITA,FEN,Men's Sabre Team
Silver Medal,2,BERRE' Enrico,ITA,FEN,Men's Sabre Team
Silver Medal,2,CURATOLI Luca,ITA,FEN,Men's Sabre Team
Bronze Medal,3,SZILAGYI Aron,HUN,FEN,Men's Sabre Team
Bronze Medal,3,SZATMARI Andras,HUN,FEN,Men's Sabre Team
Bronze Medal,3,DECSI Tamas,HUN,FEN,Men's Sabre Team
Bronze Medal,3,GEMESI Csanad,HUN,FEN,Men's Sabre Team
Gold Medal,1,BEKAURI Lasha,GEO,JUD,Men -90 kg
Silver Medal,2,TRIPPEL Eduard,GER,JUD,Men -90 kg
Bronze Medal,3,BOBONOV Davlat,UZB,JUD,Men -90 kg
Bronze Medal,3,TOTH Krisztian,HUN,JUD,Men -90 kg
Gold Medal,1,ARAI Chizuru,JPN,JUD,Women -70 kg
Silver Medal,2,POLLERES Michaela,AUT,JUD,Women -70 kg
Bronze Medal,3,van DIJKE Sanne,NED,JUD,Women -70 kg
Bronze Medal,3,TAIMAZOVA Madina,ROC,JUD,Women -70 kg
Gold Medal,1,BOUCHERON Hugo,FRA,ROW,Men's Double Sculls
Gold Medal,1,ANDRODIAS Matthieu,FRA,ROW,Men's Double Sculls
Silver Medal,2,BROENINK Stef,NED,ROW,Men's Double Sculls
Silver Medal,2,TWELLAAR Melvin,NED,ROW,Men's Double Sculls
Bronze Medal,3,LIU Zhiyu,CHN,ROW,Men's Double Sculls
Bronze Medal,3,ZHANG Liang,CHN,ROW,Men's Double Sculls
Gold Medal,1,TURRIN Spencer,AUS,ROW,Men's Four
Gold Medal,1,HARGREAVES Jack,AUS,ROW,Men's Four
Gold Medal,1,HILL Alexander,AUS,ROW,Men's Four
Gold Medal,1,PURNELL Alexander,AUS,ROW,Men's Four
Silver Medal,2,PASCARI Cosmin,ROU,ROW,Men's Four
Silver Medal,2,SEMCIUC Mugurel Vasile,ROU,ROW,Men's Four
Silver Medal,2,TIGANESCU Mihaita,ROU,ROW,Men's Four
Silver Medal,2,BERARIU Stefan,ROU,ROW,Men's Four
Bronze Medal,3,CASTALDO Matteo,ITA,ROW,Men's Four
Bronze Medal,3,VICINO Giuseppe,ITA,ROW,Men's Four
Bronze Medal,3,LODO Matteo,ITA,ROW,Men's Four
Bronze Medal,3,di COSTANZO Marco,ITA,ROW,Men's Four
Gold Medal,1,WIERSMA Abe,NED,ROW,Men's Quadruple Sculls
Gold Medal,1,WIETEN Tone,NED,ROW,Men's Quadruple Sculls
Gold Medal,1,METSEMAKERS Koen,NED,ROW,Men's Quadruple Sculls
Gold Medal,1,UITTENBOGAARD Lucas Theodoor Dirk,NED,ROW,Men's Quadruple Sculls
Silver Medal,2,GROOM Angus,GBR,ROW,Men's Quadruple Sculls
Silver Medal,2,LEASK Harry,GBR,ROW,Men's Quadruple Sculls
Silver Medal,2,BARRAS Tom,GBR,ROW,Men's Quadruple Sculls
Silver Medal,2,BEAUMONT Jack,GBR,ROW,Men's Quadruple Sculls
Bronze Medal,3,GIRDLESTONE Cameron,AUS,ROW,Men's Quadruple Sculls
Bronze Medal,3,ANTILL Caleb,AUS,ROW,Men's Quadruple Sculls
Bronze Medal,3,CLEARY Jack,AUS,ROW,Men's Quadruple Sculls
Bronze Medal,3,LETCHER Luke,AUS,ROW,Men's Quadruple Sculls
Gold Medal,1,BODNAR Ancuta,ROU,ROW,Women's Double Sculls
Gold Medal,1,RADIS Simona,ROU,ROW,Women's Double Sculls
Silver Medal,2,OSBORNE Hannah,NZL,ROW,Women's Double Sculls
Silver Medal,2,DONOGHUE Brooke,NZL,ROW,Women's Double Sculls
Bronze Medal,3,de JONG Roos,NED,ROW,Women's Double Sculls
Bronze Medal,3,SCHEENAARD Lisa,NED,ROW,Women's Double Sculls
Gold Medal,1,STEPHAN Lucy,AUS,ROW,Women's Four
Gold Medal,1,MORRISON Jessica,AUS,ROW,Women's Four
Gold Medal,1,POPA Rosemary,AUS,ROW,Women's Four
Gold Medal,1,McINTYRE Annabelle,AUS,ROW,Women's Four
Silver Medal,2,HOGERWERF Ellen,NED,ROW,Women's Four
Silver Medal,2,CLEVERING Ymkje,NED,ROW,Women's Four
Silver Medal,2,FLORIJN Karolien,NED,ROW,Women's Four
Silver Medal,2,MEESTER Veronique,NED,ROW,Women's Four
Bronze Medal,3,HEGARTY Emily,IRL,ROW,Women's Four
Bronze Medal,3,LAMBE Eimear,IRL,ROW,Women's Four
Bronze Medal,3,KEOGH Aifric,IRL,ROW,Women's Four
Bronze Medal,3,MURTAGH Fiona,IRL,ROW,Women's Four
Gold Medal,1,ZHANG Ling,CHN,ROW,Women's Quadruple Sculls
Gold Medal,1,CHEN Yunxia,CHN,ROW,Women's Quadruple Sculls
Gold Medal,1,CUI Xiaotong,CHN,ROW,Women's Quadruple Sculls
Gold Medal,1,LYU Yang,CHN,ROW,Women's Quadruple Sculls
Silver Medal,2,ZILLMANN Katarzyna,POL,ROW,Women's Quadruple Sculls
Silver Medal,2,KOBUS-ZAWOJSKA Agnieszka,POL,ROW,Women's Quadruple Sculls
Silver Medal,2,SAJDAK Maria,POL,ROW,Women's Quadruple Sculls
Silver Medal,2,WIELICZKO Marta,POL,ROW,Women's Quadruple Sculls
Bronze Medal,3,MEREDITH Rowena,AUS,ROW,Women's Quadruple Sculls
Bronze Medal,3,HUDSON Harriet,AUS,ROW,Women's Quadruple Sculls
Bronze Medal,3,THOMPSON Ria,AUS,ROW,Women's Quadruple Sculls
Bronze Medal,3,CRONIN Caitlin,AUS,ROW,Women's Quadruple Sculls
Gold Medal,1,VAKURUNABILI Josua,FIJ,RUG,Men
Gold Medal,1,DERENALAGI Meli,FIJ,RUG,Men
Gold Medal,1,NACUQU Waisea,FIJ,RUG,Men
Gold Medal,1,TUIMABA Aminiasi,FIJ,RUG,Men
Gold Medal,1,TUWAI Jerry,FIJ,RUG,Men
Gold Medal,1,BOTITU Vilimoni,FIJ,RUG,Men
Gold Medal,1,NASOKO Kalione,FIJ,RUG,Men
Gold Medal,1,BOLACA Napolioni,FIJ,RUG,Men
Gold Medal,1,TUIVUAKA Asaeli,FIJ,RUG,Men
Gold Medal,1,WAINIQOLO Jiuta,FIJ,RUG,Men
Gold Medal,1,RADRADRA Semi,FIJ,RUG,Men
Gold Medal,1,MAQALA Sireli,FIJ,RUG,Men
Gold Medal,1,BALEIWAIRIKI Iosefo Masikau,FIJ,RUG,Men
Silver Medal,2,WARBRICK William,NZL,RUG,Men
Silver Medal,2,WARE Regan,NZL,RUG,Men
Silver Medal,2,WEBBER Joe,NZL,RUG,Men
Silver Medal,2,NG SHIU Tone,NZL,RUG,Men
Silver Medal,2,NICOLE Amanaki,NZL,RUG,Men
Silver Medal,2,BAKER Kurt,NZL,RUG,Men
Silver Medal,2,COLLIER Dylan,NZL,RUG,Men
Silver Medal,2,CURRY Scott,NZL,RUG,Men
Silver Medal,2,KNEWSTUBB Andrew,NZL,RUG,Men
Silver Medal,2,McGARVEY-BLACK Ngarohi,NZL,RUG,Men
Silver Medal,2,MIKKELSON Tim,NZL,RUG,Men
Silver Medal,2,MOLIA Sione,NZL,RUG,Men
Silver Medal,2,NANAI-SETURO Etene,NZL,RUG,Men
Bronze Medal,3,ALVAREZ Santiago,ARG,RUG,Men
Bronze Medal,3,BAZAN VELEZ Lautaro,ARG,RUG,Men
Bronze Medal,3,del MESTRE Felipe,ARG,RUG,Men
Bronze Medal,3,OSADCZUK Matias,ARG,RUG,Men
Bronze Medal,3,ETCHART Rodrigo,ARG,RUG,Men
Bronze Medal,3,REVOL Gaston,ARG,RUG,Men
Bronze Medal,3,GONZALEZ Luciano,ARG,RUG,Men
Bronze Medal,3,MARE Santiago,ARG,RUG,Men
Bronze Medal,3,MONETA Marcos,ARG,RUG,Men
Bronze Medal,3,CINTI Lucio,ARG,RUG,Men
Bronze Medal,3,MENDY Ignacio,ARG,RUG,Men
Bronze Medal,3,SCHULZ German,ARG,RUG,Men
Bronze Medal,3,ISGRO Rodrigo,ARG,RUG,Men
Gold Medal,1,MILAK Kristof,HUN,SWM,Men's 200m Butterfly
Silver Medal,2,HONDA Tomoru,JPN,SWM,Men's 200m Butterfly
Bronze Medal,3,BURDISSO Federico,ITA,SWM,Men's 200m Butterfly
Gold Medal,1,SCOTT Duncan,GBR,SWM,Men's 4 x 200m Freestyle Relay
Gold Medal,1,DEAN Tom,GBR,SWM,Men's 4 x 200m Freestyle Relay
Gold Medal,1,JARVIS Calum,GBR,SWM,Men's 4 x 200m Freestyle Relay
Gold Medal,1,GUY James,GBR,SWM,Men's 4 x 200m Freestyle Relay
Gold Medal,1,RICHARDS Matthew,GBR,SWM,Men's 4 x 200m Freestyle Relay
Silver Medal,2,RYLOV Evgeny,ROC,SWM,Men's 4 x 200m Freestyle Relay
Silver Medal,2,VEKOVISHCHEV Mikhail,ROC,SWM,Men's 4 x 200m Freestyle Relay
Silver Medal,2,GIREV Ivan,ROC,SWM,Men's 4 x 200m Freestyle Relay
Silver Medal,2,DOVGALYUK Mikhail,ROC,SWM,Men's 4 x 200m Freestyle Relay
Silver Medal,2,KRASNYKH Aleksandr,ROC,SWM,Men's 4 x 200m Freestyle Relay
Silver Medal,2,MALYUTIN Martin,ROC,SWM,Men's 4 x 200m Freestyle Relay
Bronze Medal,3,WINNINGTON Elijah,AUS,SWM,Men's 4 x 200m Freestyle Relay
Bronze Medal,3,INCERTI Zac,AUS,SWM,Men's 4 x 200m Freestyle Relay
Bronze Medal,3,GRAHAM Alexander,AUS,SWM,Men's 4 x 200m Freestyle Relay
Bronze Medal,3,HORTON Mack,AUS,SWM,Men's 4 x 200m Freestyle Relay
Bronze Medal,3,CHALMERS Kyle,AUS,SWM,Men's 4 x 200m Freestyle Relay
Bronze Medal,3,NEILL Thomas,AUS,SWM,Men's 4 x 200m Freestyle Relay
Gold Medal,1,LEDECKY Kathleen,USA,SWM,Women's 1500m Freestyle
Silver Medal,2,SULLIVAN Erica,USA,SWM,Women's 1500m Freestyle
Bronze Medal,3,KOHLER Sarah,GER,SWM,Women's 1500m Freestyle
Gold Medal,1,TITMUS Ariarne,AUS,SWM,Women's 200m Freestyle
Silver Medal,2,HAUGHEY Siobhan Bernadette,HKG,SWM,Women's 200m Freestyle
Bronze Medal,3,OLEKSIAK Penny,CAN,SWM,Women's 200m Freestyle
Gold Medal,1,OHASHI Yui,JPN,SWM,Women's 200m Individual Medley
Silver Medal,2,WALSH Alex,USA,SWM,Women's 200m Individual Medley
Bronze Medal,3,DOUGLASS Kate,USA,SWM,Women's 200m Individual Medley
Gold Medal,1,SHI Zhiyong,CHN,WLF,Men's 73kg
Silver Medal,2,MAYORA PERNIA Julio Ruben,VEN,WLF,Men's 73kg
Bronze Medal,3,ABDULLAH Rahmat Erwin,INA,WLF,Men's 73kg
Gold Medal,1,LEE Sunisa,USA,GAR,Women's All-Around
Silver Medal,2,ANDRADE Rebeca,BRA,GAR,Women's All-Around
Bronze Medal,3,MELNIKOVA Angelina,ROC,GAR,Women's All-Around
Gold Medal,1,FOX Jessica,AUS,CSL,Women's Canoe
Silver Medal,2,FRANKLIN Mallory,GBR,CSL,Women's Canoe
Bronze Medal,3,HERZOG Andrea,GER,CSL,Women's Canoe
Gold Medal,1,DERIGLAZOVA Inna,ROC,FEN,Women's Foil Team
Gold Medal,1,ZAGIDULLINA Adelina,ROC,FEN,Women's Foil Team
Gold Medal,1,KOROBEYNIKOVA Larisa,ROC,FEN,Women's Foil Team
Gold Medal,1,MARTYANOVA Marta,ROC,FEN,Women's Foil Team
Silver Medal,2,BLAZE Anita,FRA,FEN,Women's Foil Team
Silver Medal,2,GUYART Astrid,FRA,FEN,Women's Foil Team
Silver Medal,2,RANVIER Pauline,FRA,FEN,Women's Foil Team
Silver Medal,2,THIBUS Ysaora,FRA,FEN,Women's Foil Team
Bronze Medal,3,VOLPI Alice,ITA,FEN,Women's Foil Team
Bronze Medal,3,ERRIGO Arianna,ITA,FEN,Women's Foil Team
Bronze Medal,3,BATINI Martina,ITA,FEN,Women's Foil Team
Bronze Medal,3,CIPRESSA Erica,ITA,FEN,Women's Foil Team
Gold Medal,1,WOLF Aaron,JPN,JUD,Men -100 kg
Silver Medal,2,CHO Guham,KOR,JUD,Men -100 kg
Bronze Medal,3,ILIASOV Niiaz,ROC,JUD,Men -100 kg
Bronze Medal,3,FONSECA Jorge,POR,JUD,Men -100 kg
Gold Medal,1,HAMADA Shori,JPN,JUD,Women -78 kg
Silver Medal,2,MALONGA Madeleine,FRA,JUD,Women -78 kg
Bronze Medal,3,AGUIAR Mayra,BRA,JUD,Women -78 kg
Bronze Medal,3,WAGNER Anna-Maria,GER,JUD,Women -78 kg
Gold Medal,1,Mc CARTHY Fintan,IRL,ROW,Lightweight Men's Double Sculls
Gold Medal,1,O'DONOVAN Paul,IRL,ROW,Lightweight Men's Double Sculls
Silver Medal,2,ROMMELMANN Jonathan,GER,ROW,Lightweight Men's Double Sculls
Silver Medal,2,OSBORNE Jason,GER,ROW,Lightweight Men's Double Sculls
Bronze Medal,3,OPPO Stefano,ITA,ROW,Lightweight Men's Double Sculls
Bronze Medal,3,RUTA Pietro,ITA,ROW,Lightweight Men's Double Sculls
Gold Medal,1,CESARINI Federica,ITA,ROW,Lightweight Women's Double Sculls
Gold Medal,1,RODINI Valentina,ITA,ROW,Lightweight Women's Double Sculls
Silver Medal,2,BOVE Claire,FRA,ROW,Lightweight Women's Double Sculls
Silver Medal,2,TARANTOLA Laura,FRA,ROW,Lightweight Women's Double Sculls
Bronze Medal,3,KEIJSER Marieke,NED,ROW,Lightweight Women's Double Sculls
Bronze Medal,3,PAULIS Ilse,NED,ROW,Lightweight Women's Double Sculls
Gold Medal,1,SINKOVIC Martin,CRO,ROW,Men's Pair
Gold Medal,1,SINKOVIC Valent,CRO,ROW,Men's Pair
Silver Medal,2,COZMIUC Marius,ROU,ROW,Men's Pair
Silver Medal,2,TUDOSA Ciprian,ROU,ROW,Men's Pair
Bronze Medal,3,VYSTAVEL Frederic,DEN,ROW,Men's Pair
Bronze Medal,3,SUTTON Joachim,DEN,ROW,Men's Pair
Gold Medal,1,PRENDERGAST Grace,NZL,ROW,Women's Pair
Gold Medal,1,GOWLER Kerri,NZL,ROW,Women's Pair
Silver Medal,2,ORIABINSKAIA Elena,ROC,ROW,Women's Pair
Silver Medal,2,STEPANOVA Vasilisa,ROC,ROW,Women's Pair
Bronze Medal,3,JANSSENS Hillary,CAN,ROW,Women's Pair
Bronze Medal,3,FILMER Caileigh,CAN,ROW,Women's Pair
Gold Medal,1,LIPTAK Jiri,CZE,SHO,Trap Men
Silver Medal,2,KOSTELECKY David,CZE,SHO,Trap Men
Bronze Medal,3,COWARD HOLLEY Matthew John,GBR,SHO,Trap Men
Gold Medal,1,REHAK STEFECEKOVA Zuzana,SVK,SHO,Trap Women
Silver Medal,2,BROWNING Kayle,USA,SHO,Trap Women
Bronze Medal,3,PERILLI Alessandra,SMR,SHO,Trap Women
Gold Medal,1,DRESSEL Caeleb,USA,SWM,Men's 100m Freestyle
Silver Medal,2,CHALMERS Kyle,AUS,SWM,Men's 100m Freestyle
Bronze Medal,3,KOLESNIKOV Kliment,ROC,SWM,Men's 100m Freestyle
Gold Medal,1,STUBBLETY-COOK Izaac,AUS,SWM,Men's 200m Breaststroke
Silver Medal,2,KAMMINGA Arno,NED,SWM,Men's 200m Breaststroke
Bronze Medal,3,MATTSSON Matti,FIN,SWM,Men's 200m Breaststroke
Gold Medal,1,FINKE Robert,USA,SWM,Men's 800m Freestyle
Silver Medal,2,PALTRINIERI Gregorio,ITA,SWM,Men's 800m Freestyle
Bronze Medal,3,ROMANCHUK Mykhailo,UKR,SWM,Men's 800m Freestyle
Gold Medal,1,ZHANG Yufei,CHN,SWM,Women's 200m Butterfly
Silver Medal,2,SMITH Regan,USA,SWM,Women's 200m Butterfly
Bronze Medal,3,FLICKINGER Hali,USA,SWM,Women's 200m Butterfly
Gold Medal,1,YANG Junxuan,CHN,SWM,Women's 4 x 200m Freestyle Relay
Gold Medal,1,ZHANG Yufei,CHN,SWM,Women's 4 x 200m Freestyle Relay
Gold Medal,1,DONG Jie,CHN,SWM,Women's 4 x 200m Freestyle Relay
Gold Medal,1,ZHANG Yifan,CHN,SWM,Women's 4 x 200m Freestyle Relay
Gold Medal,1,TANG Muhan,CHN,SWM,Women's 4 x 200m Freestyle Relay
Gold Medal,1,LI Bingjie,CHN,SWM,Women's 4 x 200m Freestyle Relay
Silver Medal,2,MADDEN Paige,USA,SWM,Women's 4 x 200m Freestyle Relay
Silver Medal,2,Mc LAUGHLIN Kathryn,USA,SWM,Women's 4 x 200m Freestyle Relay
Silver Medal,2,SIMS Arabella,USA,SWM,Women's 4 x 200m Freestyle Relay
Silver Medal,2,LEDECKY Kathleen,USA,SWM,Women's 4 x 200m Freestyle Relay
Silver Medal,2,FORDE Brooke,USA,SWM,Women's 4 x 200m Freestyle Relay
Silver Medal,2,SCHMITT Allison,USA,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,THROSSELL Brianna,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,WILSON Madison,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,O'CALLAGHAN Mollie,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,COOK Tamsin,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,HARRIS Meg,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,TITMUS Ariarne,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,NEALE Leah,AUS,SWM,Women's 4 x 200m Freestyle Relay
Bronze Medal,3,McKEON Emma,AUS,SWM,Women's 4 x 200m Freestyle Relay
Gold Medal,1,CHEN Meng,CHN,TTE,Women's Singles
Silver Medal,2,SUN Yingsha,CHN,TTE,Women's Singles
Bronze Medal,3,ITO Mima,JPN,TTE,Women's Singles
Gold Medal,1,AN San,KOR,ARC,Women's Individual
Silver Medal,2,OSIPOVA Elena,ROC,ARC,Women's Individual
Bronze Medal,3,BOARI Lucilla,ITA,ARC,Women's Individual
Gold Medal,1,BAREGA Selemon,ETH,ATH,"Men's 10,000m"
Silver Medal,2,CHEPTEGEI Joshua,UGA,ATH,"Men's 10,000m"
Bronze Medal,3,KIPLIMO Jacob,UGA,ATH,"Men's 10,000m"
Gold Medal,1,WANG Yi Lyu,CHN,BDM,Mixed Doubles
Gold Medal,1,HUANG Dong Ping,CHN,BDM,Mixed Doubles
Silver Medal,2,ZHENG Si Wei,CHN,BDM,Mixed Doubles
Silver Medal,2,HUANG Ya Qiong,CHN,BDM,Mixed Doubles
Bronze Medal,3,WATANABE Yuta,JPN,BDM,Mixed Doubles
Bronze Medal,3,HIGASHINO Arisa,JPN,BDM,Mixed Doubles
Gold Medal,1,PRSKAVEC Jiri,CZE,CSL,Men's Kayak
Silver Medal,2,GRIGAR Jakub,SVK,CSL,Men's Kayak
Bronze Medal,3,AIGNER Hannes,GER,CSL,Men's Kayak
Gold Medal,1,KIMMANN Niek,NED,BMX,Men
Silver Medal,2,WHYTE Kye,GBR,BMX,Men
Bronze Medal,3,RAMIREZ YEPES Carlos Alberto,COL,BMX,Men
Gold Medal,1,SHRIEVER Bethany,GBR,BMX,Women
Silver Medal,2,PAJON Mariana,COL,BMX,Women
Bronze Medal,3,SMULDERS Merel,NED,BMX,Women
Gold Medal,1,MINOBE Kazuyasu,JPN,FEN,Men's &Eacute;p&eacute;e Team
Gold Medal,1,KANO Koki,JPN,FEN,Men's &Eacute;p&eacute;e Team
Gold Medal,1,YAMADA Masaru,JPN,FEN,Men's &Eacute;p&eacute;e Team
Gold Medal,1,UYAMA Satoru,JPN,FEN,Men's &Eacute;p&eacute;e Team
Silver Medal,2,BIDA Sergey,ROC,FEN,Men's &Eacute;p&eacute;e Team
Silver Medal,2,KHODOS Sergey,ROC,FEN,Men's &Eacute;p&eacute;e Team
Silver Medal,2,SUKHOV Pavel,ROC,FEN,Men's &Eacute;p&eacute;e Team
Silver Medal,2,GLAZKOV Nikita,ROC,FEN,Men's &Eacute;p&eacute;e Team
Bronze Medal,3,KWEON Youngjun,KOR,FEN,Men's &Eacute;p&eacute;e Team
Bronze Medal,3,PARK Sangyoung,KOR,FEN,Men's &Eacute;p&eacute;e Team
Bronze Medal,3,MA Segeon,KOR,FEN,Men's &Eacute;p&eacute;e Team
Bronze Medal,3,SONG Jaeho,KOR,FEN,Men's &Eacute;p&eacute;e Team
Gold Medal,1,KRPALEK Lukas,CZE,JUD,Men +100 kg
Silver Medal,2,TUSHISHVILI Guram,GEO,JUD,Men +100 kg
Bronze Medal,3,RINER Teddy,FRA,JUD,Men +100 kg
Bronze Medal,3,BASHAEV Tamerlan,ROC,JUD,Men +100 kg
Gold Medal,1,SONE Akira,JPN,JUD,Women +78 kg
Silver Medal,2,ORTIZ Idalys,CUB,JUD,Women +78 kg
Bronze Medal,3,DICKO Romane,FRA,JUD,Women +78 kg
Bronze Medal,3,KINDZERSKA Iryna,AZE,JUD,Women +78 kg
Gold Medal,1,BOND Hamish,NZL,ROW,Men's Eight
Gold Medal,1,BOSWORTH Sam,NZL,ROW,Men's Eight
Gold Medal,1,BRAKE Michael,NZL,ROW,Men's Eight
Gold Medal,1,KIRKHAM Shaun,NZL,ROW,Men's Eight
Gold Medal,1,MACDONALD Matt,NZL,ROW,Men's Eight
Gold Medal,1,MACKINTOSH Thomas,NZL,ROW,Men's Eight
Gold Medal,1,MURRAY Tom,NZL,ROW,Men's Eight
Gold Medal,1,WILLIAMSON Daniel,NZL,ROW,Men's Eight
Gold Medal,1,WILSON Phillip,NZL,ROW,Men's Eight
Silver Medal,2,FOLLERT Laurits,GER,ROW,Men's Eight
Silver Medal,2,JAKSCHIK Malte,GER,ROW,Men's Eight
Silver Medal,2,JOHANNESEN Torben,GER,ROW,Men's Eight
Silver Medal,2,OCIK Hannes,GER,ROW,Men's Eight
Silver Medal,2,SAUER Martin,GER,ROW,Men's Eight
Silver Medal,2,SCHMIDT Richard,GER,ROW,Men's Eight
Silver Medal,2,SCHNEIDER Jakob,GER,ROW,Men's Eight
Silver Medal,2,WEISSENFELD Johannes,GER,ROW,Men's Eight
Silver Medal,2,ROGGENSACK Olaf,GER,ROW,Men's Eight
Bronze Medal,3,BUGAJSKI Josh,GBR,ROW,Men's Eight
Bronze Medal,3,DAWSON Jacob,GBR,ROW,Men's Eight
Bronze Medal,3,ELWES Charles,GBR,ROW,Men's Eight
Bronze Medal,3,FIELDMAN Henry,GBR,ROW,Men's Eight
Bronze Medal,3,FORD Tom,GBR,ROW,Men's Eight
Bronze Medal,3,GEORGE Tom,GBR,ROW,Men's Eight
Bronze Medal,3,RUDKIN James,GBR,ROW,Men's Eight
Bronze Medal,3,SBIHI Mohamed,GBR,ROW,Men's Eight
Bronze Medal,3,WYNNE-GRIFFITH Oliver,GBR,ROW,Men's Eight
Gold Medal,1,NTOUSKOS Stefanos,GRE,ROW,Men's Single Sculls
Silver Medal,2,BORCH Kjetil,NOR,ROW,Men's Single Sculls
Bronze Medal,3,MARTIN Damir,CRO,ROW,Men's Single Sculls
Gold Medal,1,GRAINGER Susanne,CAN,ROW,Women's Eight
Gold Medal,1,GRUCHALLA-WESIERSKI Kasia,CAN,ROW,Women's Eight
Gold Medal,1,KIT Kristen,CAN,ROW,Women's Eight
Gold Medal,1,MAILEY Madison,CAN,ROW,Women's Eight
Gold Medal,1,PAYNE Sydney,CAN,ROW,Women's Eight
Gold Medal,1,PROSKE Andrea,CAN,ROW,Women's Eight
Gold Medal,1,ROMAN Lisa,CAN,ROW,Women's Eight
Gold Medal,1,ROPER Christine,CAN,ROW,Women's Eight
Gold Medal,1,WASTENEYS Avalon,CAN,ROW,Women's Eight
Silver Medal,2,DYKE Emma,NZL,ROW,Women's Eight
Silver Medal,2,GOWLER Jackie,NZL,ROW,Women's Eight
Silver Medal,2,GOWLER Kerri,NZL,ROW,Women's Eight
Silver Medal,2,BEVAN Kelsey,NZL,ROW,Women's Eight
Silver Medal,2,PRENDERGAST Grace,NZL,ROW,Women's Eight
Silver Medal,2,ROSS Beth,NZL,ROW,Women's Eight
Silver Medal,2,SHEPHERD Caleb,NZL,ROW,Women's Eight
Silver Medal,2,SPOORS Lucy,NZL,ROW,Women's Eight
Silver Medal,2,GREENSLADE Ella,NZL,ROW,Women's Eight
Bronze Medal,3,ZHANG Min,CHN,ROW,Women's Eight
Bronze Medal,3,GUO Linlin,CHN,ROW,Women's Eight
Bronze Medal,3,JU Rui,CHN,ROW,Women's Eight
