name,gender,birth_date,country_code,discipline,function
NAKAGAICHI Yuichi,Male,11/2/1967,JPN,Volleyball,Head Coach
NCUBE Mthandazo,Male,4/10/1981,RSA,Football,Head Coach
NEVES Christophe,Male,8/3/1977,CIV,Football,Head Coach
NISHIDA Takumi,Male,9/1/1991,JPN,Rugby Sevens,Head Coach
NOTOANE David,Male,2/7/1969,RSA,Football,Head Coach
OCA GAIA Miguel Angel,Male,4/15/1970,ESP,Water Polo,Head Coach
ODAUDU Ogoh,Male,8/3/1981,NGR,Basketball,Coach
OLOO Felix,Male,11/11/1984,KEN,Rugby Sevens,Head Coach
OMOTO Yoji,Male,6/26/1967,JPN,Water Polo,Head Coach
PAGAN CRISTOBAL Angel,Male,10/31/1964,PUR,Basketball,Coach
PALERMI Giovanna,Female,1/15/1964,ITA,Baseball/Softball,Coach
PANTOJA Hernan,Male,3/29/1955,VEN,Volleyball,Head Coach
PARADELO David,Male,10/7/1985,CAN,Water Polo,Head Coach
PARRONDO Roberto,Male,1/12/1980,EGY,Handball,Coach
PAUL Henry,Male,2/10/1974,CAN,Rugby Sevens,Head Coach
PEDRERO Ofelia,Female,3/28/1988,MEX,Artistic Swimming,Coach
PEREIRA Paulo Jorge,Male,3/21/1965,POR,Handball,Coach
PEREZ Jose,Male,1/24/1982,VEN,Basketball,Coach
PIBIRI Rossella,Female,4/21/1982,ITA,Artistic Swimming,Coach
PISKAREVA Ekaterina,Female,2/26/1971,ROC,Artistic Swimming,Coach
PIZZOLINI Federico,Male,5/9/1964,ITA,Baseball/Softball,Head Coach
POPOVIC Bojana,Female,11/20/1979,MNE,Handball,Coach
POPOVICH Gregg,Male,1/28/1949,USA,Basketball,Coach
POROBIC Petar,Male,5/28/1957,CHN,Water Polo,Head Coach
POTTER Anthony,Male,5/11/1972,AUS,Hockey,Coach
POWELL Katrina,Female,4/8/1972,AUS,Hockey,Head Coach
POWELL Neil,Male,6/28/1978,RSA,Rugby Sevens,Head Coach
PRADO BRANAS Joaquin,Male,3/17/1976,ESP,Basketball,Coach
PRIESTMAN Bev,Female,4/29/1986,CAN,Football,Head Coach
RADOI Mirel,Male,3/22/1981,ROU,Football,Head Coach
RECKINGER Xavier,Male,12/20/1983,GER,Hockey,Head Coach
REID Graham John,Male,4/9/1964,IND,Hockey,Head Coach
REQUENA PERICAS Judit,Female,11/26/1992,ESP,Artistic Swimming,Coach
RETEGUI Carlos Jose,Male,12/19/1969,ARG,Hockey,Head Coach
RETEGUI Carlos Jose,Male,12/19/1969,ARG,Hockey,Head Coach
RIBERA ROMANS Jordi,Male,3/5/1963,ESP,Handball,Coach
RIISE Hege,Female,7/18/1969,GBR,Football,Head Coach
RILLIE John,Male,11/4/1971,AUS,Basketball,Coach
RIPOLL Sylvain,Male,8/15/1971,FRA,Football,Head Coach
RODRIGUEZ Eduardo Rafael,Male,5/17/1974,ARG,Volleyball,Head Coach
ROEDL Henrik,Male,3/4/1969,GER,Basketball,Coach
ROQUES Tony,Male,9/7/1978,GBR,Rugby Sevens,Head Coach
SACCHETTI Meo,Male,8/20/1953,ITA,Basketball,Coach
SALAM Mohamed,Male,10/5/1981,EGY,Football,Head Coach
SAMMELVUO Tuomas,Male,2/16/1976,ROC,Volleyball,Head Coach
SARTI Ronald,Male,10/19/1971,VEN,Volleyball,Head Coach
SAVIC Dejan,Male,4/24/1975,SRB,Water Polo,Head Coach
SCARIOLO Sergio,Male,4/1/1961,ESP,Basketball,Coach
SCHILLING April,Female,12/9/1980,NGR,Basketball,Coach
SEKULIC Aleksander,Male,2/24/1978,SLO,Basketball,Coach
SEO Chun Oh,Male,8/3/1967,KOR,Rugby Sevens,Head Coach
SERMANNI Tom,Male,7/1/1954,NZL,Football,Head Coach
SHAHINTAB Mehran,Male,3/21/1966,IRI,Basketball,Coach
SHAHNAZI Shahbaz,Male,7/11/1987,AUT,Artistic Swimming,Coach
SHAW Graham,Male,10/17/1978,NZL,Hockey,Head Coach
SHAWKY Gharib,Male,2/26/1959,EGY,Football,Head Coach
SHIMIZU Masaji,Male,7/7/1964,JPN,Baseball/Softball,Coach
SIAM Zaghloul,Male,3/25/1968,EGY,Football,Head Coach
SIGURDSSON Dagur,Male,4/3/1973,JPN,Handball,Coach
SILVA Jose,Male,12/19/1973,MEX,Baseball/Softball,Coach
SIMIYU Innocent,Male,4/24/1983,KEN,Rugby Sevens,Head Coach
SINGH Shivendra,Male,6/9/1983,IND,Hockey,Coach
SMITH Darren,Male,11/14/1973,NZL,Hockey,Head Coach
SMITH Mark,Male,6/27/1959,CAN,Baseball/Softball,Head Coach
SOLBERG Glenn,Male,2/18/1972,SWE,Handball,Coach
SOYEZ Frederic,Male,2/11/1978,ESP,Hockey,Head Coach
SPERAW John,Male,10/18/1971,USA,Volleyball,Head Coach
SPERONI Stefania,Female,1/12/1980,GBR,Artistic Swimming,Coach
STALEY Dawn Michelle,Female,5/4/1970,USA,Basketball,Coach
STANIFORTH Dave,Male,4/5/1976,AUS,Hockey,Coach
STAS Jacques,Male,2/6/1969,BEL,Basketball,Coach
SUNDHAGE Pia Mariane,Female,2/13/1960,BRA,Football,Head Coach
SVETLICHNAYA Aliona,Female,12/18/1981,BLR,Artistic Swimming,Coach
SZAUDER Gabor,Male,2/10/1972,CAN,Artistic Swimming,Coach
SZAUDER Gabor,Male,2/10/1972,CAN,Artistic Swimming,Coach
SZAUDER Nora,Female,1/29/1979,SVK,Artistic Swimming,Coach
TAGLE German,Male,1/8/1975,CHI,Football,Head Coach
TAKAKURA Asako,Female,4/19/1968,JPN,Football,Head Coach
TAKITA Risako,Female,10/30/1972,JPN,Artistic Swimming,Coach
TAKITA Risako,Female,10/30/1972,JPN,Artistic Swimming,Coach
TARR Heather,Female,10/5/1974,USA,Baseball/Softball,Coach
TATEYAMA Yoshinori,Male,12/26/1975,JPN,Baseball/Softball,Coach
TERZIC Zoran,Male,7/9/1966,SRB,Volleyball,Head Coach
THOMAIDIS Lisa,Female,7/23/1971,CAN,Basketball,Coach
TILLIE Laurent,Male,12/1/1963,FRA,Volleyball,Head Coach
TUCAK Ivica,Male,2/8/1970,CRO,Water Polo,Head Coach
TURNER Glenn,Male,5/1/1984,NZL,Hockey,Coach
UDOKA Ime,Male,8/9/1977,USA,Basketball,Coach
UDOVICIC Dejan,Male,7/26/1970,USA,Water Polo,Head Coach
UTKIN Volodymyr,Male,12/19/1969,UKR,Artistic Swimming,Coach
UTSUGI Reika,Female,6/1/1963,JPN,Baseball/Softball,Head Coach
van GINKEL Robin,Male,4/30/1982,RSA,Hockey,Head Coach
van GUNDY Jeff,Male,1/19/1962,USA,Basketball,Coach
VASQUEZ Diego,Male,4/29/1969,VEN,Basketball,Coach
VILLEGAS Orlando,Male,3/17/1959,VEN,Volleyball,Head Coach
VITORINO de SOUZA Marcelo,Male,5/12/1981,KEN,Volleyball,Head Coach
VIVER ARZA Carlos Enrique,Male,4/24/1973,ESP,Handball,Coach
VLACHOS Theodoros,Male,7/9/1969,GRE,Water Polo,Head Coach
VOLOSHYNA Anna,Female,9/26/1991,USA,Artistic Swimming,Coach
